record_type,campaign_id,flight_id,name,advertiser,agency_id,status,starts_on,ends_on,goal_kind,goal_value,rebate_percent,surcharge_discount_percent,surcharge_weekdays,notes,created_at,created_by,data_source,channel,brand,category,budget_ils,bonus_ils,rating_goal_points,rating_goal_audience,price_model,priority,pacing_mode,is_demo,demo_note
campaign,CMP_D032,,2025-04 - ישראל היום — ישראל היום  - אפריל 2025,ישראל היום,AGY_04,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,138500.00,,80.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D032,CMP_D032_F1,2025-04 - ישראל היום — ישראל היום  - אפריל 2025,,,,2025-04-27,2025-05-03,grp,80.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D033,,2025-04 - ישרוטל — ישרוטל עצמאות 2025,ישרוטל,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,223100.00,,180.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D033,CMP_D033_F1,2025-04 - ישרוטל — ישרוטל עצמאות 2025,,,,2025-04-27,2025-05-03,grp,180.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D034,,2025-04 - כלמוביל - יונדאי — יונדאי טוסון תדמית 20 שנה,כלמוביל,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,יונדאי,,36100.00,,140.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D034,CMP_D034_F1,2025-04 - כלמוביל - יונדאי — יונדאי טוסון תדמית 20 שנה,,,,2025-04-27,2025-05-03,grp,140.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D035,,2025-04 - כלמוביל - מרצדס — מרצדס STAR LEASE,כלמוביל,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,מרצדס,,74800.00,,250.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D035,CMP_D035_F1,2025-04 - כלמוביל - מרצדס — מרצדס STAR LEASE,,,,2025-04-27,2025-05-03,grp,250.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D036,,2025-04 - מגדל - מגדל ביטוח — השקעה ישראלית - יום העצמאות,מגדל,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,מגדל ביטוח,,293000.00,,235.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D036,CMP_D036_F1,2025-04 - מגדל - מגדל ביטוח — השקעה ישראלית - יום העצמאות,,,,2025-04-27,2025-05-03,grp,235.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D037,,2025-04 - נטוויז'ן - סלקום — לוחמים לא משלמים,סלקום,AGY_07,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,237900.00,,305.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D037,CMP_D037_F1,2025-04 - נטוויז'ן - סלקום — לוחמים לא משלמים,,,,2025-04-27,2025-05-03,grp,305.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D038,,2025-04 - עד 120,עד 120 מרכזי מגורים לאוכלוסיה המבוגרת,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,152300.00,,120.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D038,CMP_D038_F1,2025-04 - עד 120,,,,2025-04-27,2025-05-03,grp,120.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D039,,2025-04 - עוגן הלוואות חברתיות,עוגן קרן להלוואות חברתיות,AGY_04,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,6600.00,,20.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D039,CMP_D039_F1,2025-04 - עוגן הלוואות חברתיות,,,,2025-04-27,2025-05-03,grp,20.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D040,,"2025-04 - עמותת מל""י - מל""י","עמותת מל""י",AGY_04,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,"מל""י",,37000.00,,35.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D040,CMP_D040_F1,"2025-04 - עמותת מל""י - מל""י",,,,2025-04-27,2025-05-03,grp,35.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D041,,2025-04 - פרוקטר & גמבל - אריאל,פרוקטר & גמבל,AGY_06,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,אריאל,,114700.00,,65.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D041,CMP_D041_F1,2025-04 - פרוקטר & גמבל - אריאל,,,,2025-04-27,2025-05-03,grp,65.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D042,,2025-04 - פריסבי — דאצ׳יה דאסטר היברידי,פריסבי,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,381200.00,,185.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D042,CMP_D042_F1,2025-04 - פריסבי — דאצ׳יה דאסטר היברידי,,,,2025-04-27,2025-05-03,grp,185.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D043,,2025-04 - צ'מפיון מוטורס - BYD,צ'מפיון מוטורס,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,BYD,,76500.00,,65.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D043,CMP_D043_F1,2025-04 - צ'מפיון מוטורס - BYD,,,,2025-04-27,2025-05-03,grp,65.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D044,,2025-04 - קבוצת פומו - קפרי,קבוצת פומו,AGY_04,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,קפרי,,15300.00,,40.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D044,CMP_D044_F1,2025-04 - קבוצת פומו - קפרי,,,,2025-04-27,2025-05-03,grp,40.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D045,,"2025-04 - קופ""ח מאוחדת - מאוחדת — קפיטציה מאי","קופ""ח מאוחדת",AGY_06,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,מאוחדת,,245400.00,,140.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D045,CMP_D045_F1,"2025-04 - קופ""ח מאוחדת - מאוחדת — קפיטציה מאי",,,,2025-04-27,2025-05-03,grp,140.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D046,,2025-04 - קליל תעשיות - קליל — חלון מקורי,קליל תעשיות,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,קליל,,115500.00,,155.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D046,CMP_D046_F1,2025-04 - קליל תעשיות - קליל — חלון מקורי,,,,2025-04-27,2025-05-03,grp,155.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D047,,2025-04 - קרייזי ליין,קרייזי ליין,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,57400.00,,65.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D047,CMP_D047_F1,2025-04 - קרייזי ליין,,,,2025-04-27,2025-05-03,grp,65.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D048,,2025-04 - קרסו מוטורס - רנו — רנו קליאו החדשה,קרסו מוטורס,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,רנו,,136700.00,,205.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D048,CMP_D048_F1,2025-04 - קרסו מוטורס - רנו — רנו קליאו החדשה,,,,2025-04-27,2025-05-03,grp,205.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D049,,2025-04 - רמי לוי שיווק השקמה - רמי לוי — קמפיין יום העצמאות,רמי לוי שיווק השקמה,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,רמי לוי,,123700.00,,110.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D049,CMP_D049_F1,2025-04 - רמי לוי שיווק השקמה - רמי לוי — קמפיין יום העצמאות,,,,2025-04-27,2025-05-03,grp,110.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D050,,2025-04 - שטראוס - דנונה פרו,שטראוס,AGY_03,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,דנונה פרו,,136200.00,,230.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D050,CMP_D050_F1,2025-04 - שטראוס - דנונה פרו,,,,2025-04-27,2025-05-03,grp,230.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D051,,אובלי קמפיין אוגוסט 2022,אובלי ערבויות,AGY_08,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,6600.00,,95.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D051,CMP_D051_F1,אובלי קמפיין אוגוסט 2022,,,,2025-04-27,2025-05-03,grp,95.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
